InletTemperature;MassFlowRate;Power;GapPressure;InitialHeatStrTemperature;InletPressure;GapCompositionHe
4.167208e-01;-3.066604e-02;7.981424e-01;-1.555275e-03;0.000000e+00;-9.252126e-03;-4.943939e-01
7.453918e-01;-6.054256e-02;1.131225e-01;0.000000e+00;0.000000e+00;5.566502e-03;-0.000000e+00
-4.892929e+00;8.881888e-01;-1.171492e+00;0.000000e+00;0.000000e+00;3.458441e-01;-1.676753e-07
